Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 98,678,Ministry of Tourism ,Development of Iconic Tourist Destinations, NA, NA, NA, NA, NA, NA, NA, NA , NA,0.03, NA,0.03
Demand No. 98,679,Ministry of Tourism ,"Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)",144.71, NA,144.71,207.55, NA,207.55,125, NA ,125,153, NA,153
Demand No. 98,680,Ministry of Tourism ,Other Support to Tourist Infrastructure,39.77, NA,39.77,247.66, NA,247.66,154.71, NA ,154.71,305, NA,305
Demand No. 98,681,Ministry of Tourism ,Overseas Promotion and Publicity including Market Development Assistance,312.05, NA,312.05,450, NA,450,115, NA ,115,524.02, NA,524.02
Demand No. 98,682,Ministry of Tourism ,Domestic Promotion and Publicity including Market Development Assistance,99.63, NA,99.63,140, NA,140,63.33, NA ,63.33,144.7, NA,144.7
Demand No. 98,683,Ministry of Tourism ,Assistance to IHMS/FCIs/IITTM/NIWS,56.81, NA,56.81,70, NA,70,50, NA ,50,75, NA,75
Demand No. 98,684,Ministry of Tourism ,Capacity Building for Service Providers,32.75, NA,32.75,60, NA,60,33, NA ,33,63.65, NA,63.65
Demand No. 99,685,Ministry of Tribal Affairs ,National Fellowship and Scholarship for Higher Education of ST Students,99.89, NA,99.89,100, NA,100,120, NA ,120,150, NA,150
Demand No. 99,686,Ministry of Tribal Affairs ,Scholarship to the ST Students for Studies Abroad,1.9, NA,1.9,2, NA,2,4.76, NA ,4.76,3, NA,3
Demand No. 99,687,Ministry of Tribal Affairs ,Support to National/ State Scheduled Tribes Finance and Development Corporation, NA,80,80, NA,150,150, NA, NA , NA, NA,0.01,0.01
Demand No. 99,688,Ministry of Tribal Affairs ,Institutional Support for Development and Marketing of Tribal Products (TRIFED etc.),128.5, NA,128.5,140, NA,140,105, NA ,105,150, NA,150
Demand No. 99,689,Ministry of Tribal Affairs ,Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes,94.84, NA,94.84,110, NA,110,60, NA ,60,110, NA,110
Demand No. 99,690,Ministry of Tribal Affairs ,Eklavya Model Residential School (EMRS),16.21, NA,16.21,1313.22,0.01,1313.23,1200, NA ,1200,1418.03,0.01,1418.04
Demand No. 101,691,Ministry of Youth Affairs and Sports ,National Service Scheme,151.61, NA,151.61,172, NA,172,72.98, NA ,72.98,165, NA,165
Demand No. 101,692,Ministry of Youth Affairs and Sports ,National Young Leaders Programme,10.61, NA,10.61,22, NA,22,4.35, NA ,4.35,14, NA,14
Demand No. 101,693,Ministry of Youth Affairs and Sports ,National Programme for Youth and Adolescent Development,20.27, NA,20.27,23, NA,23,20, NA ,20,21, NA,21
Demand No. 101,694,Ministry of Youth Affairs and Sports ,National Youth Corps,75, NA,75,90, NA,90,60, NA ,60,75, NA,75
Demand No. 101,695,Ministry of Youth Affairs and Sports ,International Cooperation,19.21, NA,19.21,30, NA,30,6.92, NA ,6.92,14, NA,14
Demand No. 101,696,Ministry of Youth Affairs and Sports ,Scouting and Guiding,0.75, NA,0.75,1.5, NA,1.5,0.75, NA ,0.75,1.5, NA,1.5
Demand No. 101,697,Ministry of Youth Affairs and Sports ,Youth Hostel,1.27, NA,1.27,19.98,0.02,20,1.98,1.02,3,3,3,6
Demand No. 101,698,Ministry of Youth Affairs and Sports ,Assistance to Promotion of Sports Excellence,305.6, NA,305.6,250, NA,250,133, NA ,133,283.8, NA,283.8
Demand No. 101,699,Ministry of Youth Affairs and Sports ,Incentive to Sports Persons,110.19, NA,110.19,70, NA,70,37.5, NA ,37.5,53, NA,53
Demand No. 101,700,Ministry of Youth Affairs and Sports ,National Sports Development Fund,77.15, NA,77.15,50, NA,50,7.23, NA ,7.23,25, NA,25
Demand No. 101,701,Ministry of Youth Affairs and Sports ,National Welfare Fund for Sports Persons,1, NA,1,2, NA,2,2, NA ,2,2, NA,2
Demand No. 101,702,Ministry of Youth Affairs and Sports ,Khelo India,575.52, NA,575.52,890.42, NA,890.42,328.77, NA ,328.77,657.71, NA,657.71
Demand No. 101,703,Ministry of Youth Affairs and Sports ,Enhancement of Sports Facility at J& K,50, NA,50,50, NA,50,25, NA ,25,50, NA,50
Demand No. 101,704,Ministry of Youth Affairs and Sports ,Commonwealth Games,96, NA,96,75, NA,75,75, NA ,75,30, NA,30
,Grand Total,,Grand Total,446085.68,311005.45,757091.13,497024.69,334800.37,831825.06,870612.58,393077.23,1263689.81,607968.41,443735,1051703.41
